longitude,latitude
215,257
41.94076496048223,-85.00154950929712
286,310
41.94073282540695,-85.00133550964574
532,496
41.94066182925292,-85.00090550095656
359,462
41.94064090405561,-85.00098487171928
391,489
41.94063193611181,-85.00093564175253
471,428
41.940688733067965,-85.00101802659485
536,433
41.94069994298754,-85.00099391395807
242,528
41.94058410705547,-85.00092057135889
636,486
41.9406894803946,-85.00089243994931
243,552
41.940578130109905,-85.00088875077661
279,548
41.9405866094118,-85.00088875077661
316,543
41.940595088712534,-85.00088539801524
347,540
41.94060157288293,-85.0008820452539
382,536
41.94061055096393,-85.00088070414937
414,532
41.94061803269714,-85.00087869249255
447,526
41.940624516865206,-85.00087668083574
479,526
41.94063449250709,-85.00087198696986
1131,495
41.94081056233172,-85.00078883849507
1286,561
41.94079011232066,-85.00068557344535
1429,652
41.94075918790118,-85.00059236667968
1410,702
41.94072826346671,-85.00056554458887
1389,734
41.940709309773645,-85.00054811022981
1233,754
41.940672399934165,-85.00055816851388
1078,778
41.940637485201485,-85.0005668856934
945,803
41.94060755827253,-85.00057359121611
1164,695
41.94068486947693,-85.00060242496377
892,556
41.94070432195875,-85.00075866364288
964,521
41.940746219591766,-85.00078816794279
1637,895
41.9406788840967,-85.00044752738918
1354,998
41.940611049748284,-85.00044819794145
1206,976
41.94059758262643,-85.00047233782321
846,906
41.94056915202646,-85.00054341636391
944,999
41.94056216907017,-85.00049848936177
486,925
41.94051977253203,-85.00057962618882
339,838
41.94052027131499,-85.00064332865455
98,826
41.94048934676464,-85.00068356179082
34,672
41.94050630539088,-85.00079621457232
164,538
41.94056466298198,-85.00091758453335
131,593
41.94054570924032,-85.00086528145621
150,619
41.94053872628142,-85.00083108329041
172,660
41.94053074575605,-85.00078883849733
1341,694
41.940719285401634,-85.00057560287796
1313,701
41.94071230246175,-85.00057627343024
1281,706
41.940704321958115,-85.00057828508704
1249,708
41.94069534389031,-85.00058230840068
265,379
41.94066890846167,-85.00116770052296
287,399
41.94066092795256,-85.00111807965492